Questions,Category
Saan ka nag-aaral?,Abbreviation
Paano mo sasagutin ang mga tanong na ito?,Abbreviation
Ano ang gustong panoorin ng pamilya mo tuwing gabi?,Abbreviation
Saan ka mag aaral ng kolehiyo?,Abbreviation
Saan ka nag-aaral?,Abbreviation
Saan kayo una nagkita?,Abbreviation
Ano ang ibig sabihin ng gg?,Abbreviation
Saan ka ba mag-aaral?,Abbreviation
Saan ka magco-college?,Abbreviation
Ano ang ibig sabihin ng LMAO?,Abbreviation
Ano ang ibig sabihin ng DOH?,Abbreviation
"Ano ang ibig sabihin ng ""i.e""?",Abbreviation
Ano ang ibig sabihin ng LOL?,Abbreviation
Ano ang ibig sabihin ng smh?,Abbreviation
Ano ang ibig sabihin ng GGWP?,Abbreviation
Ano ang ibig sabihin ng IRRI?,Abbreviation
Anong kailangan kong gawin upang malaman mo na ikaw ang minamahal ko?,description
Anong sinasabi mo?,description
Anong meron siya na wala ako?,description
Bakit ba hindi ka nakilala nang akoy malaya pa?,description
Bakit ako mahihiya kung sa iyo ako liligaya?,description
Bakit ba ayaw mo sa akin?,description
"Paano na ako, mahal ko?",description
Paano ba ito gagawin?,description
Paano na ang puso kong sinaktan mo?,description
Ano ka?,description
Anong kailangan mo?,description
Bakit ang ganda ko?,description
Bakit kailangan kong gawin 'to?,description
Paano mo nagagawa ang ginagawa mo?,description
Ano ang paborito mong kulay?,description
Bakit masakit magmahal?,description
Paano gumawa ng pastillas?,description
Ano ang ibig mong sabihin?,description
Ano ang kailangan mo?,description
Ano ba ang meron siya na wala ako?,description
Bakit labis kitang mahal?,description
Bakit ngayon ka lang?,description
Bakit ka ba galit?,description
Paano ka natutulog?,description
Paano patayin ang kandila?,description
Alin ang mas nakakatamad?,description
Ano ang titulo ng kantang kinanta mo?,description
Ano ang trabaho ng tatay mo?,description
Bakit kailangn kong gawin ang lahat ng ito?,description
Bakit ba gusto ko ng moron?,description
Bakit ba kasi ang sarap kumain?,description
Bakit ko ba kasi kinakausap ang sarili ko?,description
Paano nalang ang bukas kung mawawala ka?,description
Paano na ako kung wala sila?,description
Paano ko ba ito maipapaliwanag sa iba?,description
Paano ko sasabihin sa kanya?,description
Paano ko malalaman kung hindi mo sasabihin?,description
Kailan ko masasabing nahanap ko na?,description
Alin sa mga pagsubok ang kaya mong tahakin?,description
Nasaan na ang lahat ng mga pinangako mo?,description
Ano ang kailangan kong gawin para mahalin mo ako?,description
Ano ang kailangan mo?,description
Bakit siya ang pinili mo at hindi ako?,description
Bakit hindi mo ako magawang mahalin?,description
Paano ba ang magmahal?,description
Paano ba mag sulat?,description
Ano nga ba ang plano ng tadhana para sa ating dalawa?,description
Ano pa ba ang kailangan kong gawin para makalimutan ka?,description
Ano ang katuturan ng kwentong ito?,description
Bakit nga ba laging may dulo ang kwento?,description
"Bakit kung kailan handa na ako, saka ka nawala na parang bula?",description
Paano wakasan ang isang bagay na hindi napagbigyang umpisahan?,description
Paano panatiliin ang aking katinuan habang nakatitig sa kamay mong hawak niya?,description
Paano tanggapin ang katotohanang wala na tayong pag-asa?,description
Saan ako nagkulang?,description
Ano ang nangyari sa ngipin mo?,description
Ano ang tawag ng aso mo sa iyo?,description
Bakit mo ako iniwan?,description
Bakit ka lumayo?,description
Bakit mo kinuha ang alkansya ko?,description
Paano mo ninakaw ang pera ko?,description
Paano mo malalaman na totoo ang sinasabi ko?,description
Paano mo nabuksan ang puso ko?,description
Sino siya at iniwan mo ako?,description
Sino ako at iniwanan mo?,description
Alin nga ba sa mga nagawa ko ang hindi mo gusto?,description
Anong klaseng hayop ang nangangagat?,description
Ano sa Ingles ang pangit?,description
Bakit masayang maligo sa ulan?,description
Bakit ka masyadong praning?,description
Bakit ang ganda ng mga tanawin dito sa Pilipinas?,description
Bakit kulay asul ang langit?,description
Paano kumita ng pera?,description
Paano matulog nang nakatayo?,description
Paano mo sasabihin sa magulang mo na buntis ka?,description
Saan aabot ang twenty pesos mo?,description
Ano ang ibig mong sabihin?,description
Ano ang paborito mo na pagkain?,description
Bakit ka basa?,description
Paano ba sumakay ng jeep?,description
Paano ako makakabawi sa iyo?,description
Paano gumawa nang parol?,description
Ano ba ang mayroon sila na wala sa akin?,description
Bakit nga ba mahal kita kahit di pinapansin ang damdamin ko?,description
Bakit ang ganda ko?,description
Paano ngaba tuturuan ang puso?,description
Paano ba magmahal?,description
Saan kaya ako dadalhin ng aking mga pangarap?,description
Ano ang kulay ng langit? ,description
Ano ang kinain mo kanina? ,description
Ano ang kinuha mong kurso? ,description
Bakit ang pangit mo? ,description
Bakit siya pa?,description
Paano mo ginawa ang iyong thesis? ,description
Paano ko ba maiwawasto ang lahat? ,description
Ano ang favorite color mo?,description
Bakit mo pa rin siya mahal matapos ka niya sinaktan?,description
Bakit hindi mo ginawa ang takdang-aralin mo?,description
Paano maging masaya?,description
Paano ko matatapos ang thesis ko?,description
Ano ang magandang gawin para sa movie date natin?,description
Bakit kailan mo itong itanong Faye?,description
