Questions,Category
Anong kailangan kong gawin upang malaman mo na ikaw ang minamahal ko?,description
Anong sinasabi mo?,description
Anong meron siya na wala ako?,description
Bakit ba hindi ka nakilala nang akoy malana bitin?ya.ihi pa?,description
Bakot ako mahihiya kung sa iyo ako liligaya?,description
Bakit ba ayaw mo sa akin?,description
"Paano na ako, mahal ko?",description
Paano ba ito gagawin?,description
Paano na ang puso kong sinaktan mo?,description
Kailan mo ba mapapansin ang aking lihim?,numeric
Kailan ba hahaplusin ang pusong pusong bitin na bitin?,numeric
Kailan kaya ako gagraduate?,numeric
Sino ang laman ng puso mo?,human
Sino ba siya?,human
Sino ba sila?,entity
Alin dito ang gusto mo?,entity
Alin sa kanila ang nagustuhan mo?,human
Alin ba riyan?,entity
Saan ako nagkamali?,numeric
Saan nagkamali ang puso ko?,numeric
Saan ka nagpunta?,location
Ano ka?,description
Ano'ng kailangan mo?,description
Ano ba ako sa'yo?,human
Bakit ngayon ka lang?,numeric
Bakit ang ganda ko?,description
Bakit kailangan kong gawin 'to?,description
Paano na ang puso kong nag-iisa?,human
Paano papuntang langit?,location
Paano mo nagagawa ang ginagawa mo?,description
Kailan kaya kita muling makikita?,numeric
Kailan ko kaya matatapos ang thesis ko?,numeric
Kailan kaya ako matatapos?,numeric
Sino ako?,human
Sino ka ba?,human
Sino ba sila?,entity
Alin sa dalawa ang pipiliin mo?,entity
Alin ba dito ang kailangan ko?,entity
Alin ba diyan ang gusto niya?,location
Saan ko siya makikita?,location
Saan ka pupunta?,location
Saan dito ang nagtitinda ng puso?,location
Ano ang paborito mong kulay?,description
Bakit masakit magmahal?,description
Paano gumawa ng pastillas?,description
Kailan magsasara ang mall?,numeric
Sino ang pumatay sa ipis?,human
Alin sa mga prutas ang matamis?,location
Saan ilalagay ang aking sapatos?,location
Ano ang ibig mong sabihin?,description
Ano ang kailangan mo?,description
Ano ba ang meron siya na wala ako?,description
Bakit labis kitang mahal?,description
Bakit ngayon ka lang?,description
Bakit ka ba galit?,description
Paano ba bibitayin ang parol?,location
Paano ka natutulog?,description
Paano patayin ang kandila?,description
Kailan ako kakain?,numeric
Kailan ka ba magigising?,numeric
Kailan ang kaarawan mo?,numeric
Sino ba siya?,human
Sino ang kasama mo?,entity
Sino ang nagtulak sa kanya sa hagdan?,human
Alin ang mas nakakatamad?,description
Alin ang mas maganda?,location
Alin dito ang nakakatulog? ,entity
Saan ka nakatira?,location
Saan ka ngayon?,location
Saan niya dadalhin ang palasyo?,location
Ano ang kailangan nila?,human
"Ano ang pangalan mo, babae?",human
Ano ang titulo ng kantang kinanta mo?,description
Ano ang trabaho ng tatay mo?,description
Ano ang tawag sa taong palaging nagogoyo?,human
Bakit kailangn kong gawin ang lahat ng ito?,description
Bakit kailangan mas marami akong isulat ngayon?,numeric
Bakit ba gusto ko ng moron?,description
Bakit ba kasi ang sarap kumain?,description
Bakit ko ba kasi kinakausap ang sarili ko?,description
Paano nalang ang bukas kung mawawala ka?,description
Paano na ako kung wala sila?,description
Paano ko ba ito maipapaliwanag sa iba?,description
Paano ko sasabihin sa kanya?,description
Paano ko malalaman kung hindi mo sasabihin?,description
Hanggang kailan ako maghihintay?,numeric
Kailan ko siya masasapak?,numeric
Kailan ba darating ang mga bisita?,numeric
Kailan ba sila aalis?,numeric
Kailan ko masasabing nahanap ko na?,description
Sino ang nanay mo?,human
Sino dito ang takot sa aso?,human
Sino ang nagtapon ng pera sa basurahan?,human
Sino ang nagnakaw ng kuwaderno ni Isko?,human
Sino ang lapastangang nangahas na pumasok sa aking silid?,human
Alin dito ang tunay?,entity
Alin sa mga isda ang nagpapanggap lamang?,entity
Alin sa mga lugar ang natungo mo na?,location
Alin sa mga pagsubok ang kaya mong tahakin?,description
Aling bistida ang nais mong mapasaiyo?,human
Saang sulok ng mundo kita matatagpuan?,location
Saan kita mahahanap?,location
Nasaan na ang lahat ng mga pinangako mo?,description
Saan ko matatagpuan ang kapares ng sapatos mo?,location
Nasaan na ang ipinadalang alipin ng mga pilibustero?,location
Ano ang kailangan kong gawin para mahalin mo ako?,description
Ano ang kailangan mo?,description
Ano nga ba ako sa buhay mo?,human
Bakit ngayon ka lang?,numeric
Bakit siya ang pinili mo at hindi ako?,description
Bakit hindi mo ako magawang mahalin?,description
Paano ba ang magmahal?,description
Paano ba mag sulat?,description
Paano ko ba siya makilala?,human
Kailan ka ba darating?,numeric
Kailan pa ba mapapansin ang aking lihim?,numeric
Kailan ba magsisimula ang tayo?,numeric
Sino ba talaga ang gusto mo?,human
Sino ang pipiliiin mo?,human
Sino nga ba siya sa buhay mo?,human
Alin sa aming dalawa ang gusto mo?,entity
Alin ba ang mas matimbang para sayo?,entity
Alin sa mga ito ang gusto mo?,entity
Saan ka nagpunta?,location
Saan ba kayo unang nag kita?,location
Saan mo ba siya dadalhin?,location
Ano nga ba ang plano ng tadhana para sa ating dalawa?,description
Ano pa ba ang kailangan kong gawin para makalimutan ka?,description
Ano ang katuturan ng kwentong ito?,description
Bakit nga ba laging may dulo ang kwento?,description
"Bakit kung kailan handa na ako, saka ka nawala na parang bula?",description
Bakit nagmahal ka agad ng iba?,human
Paano wakasan ang isang bagay na hindi napagbigyang umpisahan?,description
Paano panatiliin ang aking katinuan habang nakatitig sa kamay mong hawak niya?,description
Paano tanggapin ang katotohanang wala na tayong pag-asa?,description
Kailan pa ba ako mapapagod?,numeric
Kailan ba ako titigil sa pagpapakatanga?,numeric
"Kailan ko pa ba matatanggap na lagi't lagi, siya ang pipiliin mo?",numeric
Sino ba kasi ang biglang nawala at hindi nagparamdam?,human
Sino ang naroon upang bigyan ka ng balikat na maiyakan?,human
Sino ba naman kasi ang nagsabing paniwalaan ko lahat ng mga pangako mo?,human
Saan ako nagkulang?,description
Saan ba ito patungo?,location
Saan ba ako lulugar?,location
Ano ang pangalan ng aso mo?,entity
Ano ang nangyari sa ngipin mo?,description
Ano ang tawag ng aso mo sa iyo?,description
Bakit mo ako iniwan?,description
Bakit ka lumayo?,description
Bakit mo kinuha ang alkansya ko?,description
Paano mo ninakaw ang pera ko?,description
Paano mo malalaman na totoo ang sinasabi ko?,description
Paano mo nabuksan ang puso ko?,description
Kailan mo ba mapapansin ang aking lihim?,numeric
Kailan kita makikitang muli?,numeric
Kailan kita mahahagkan?,numeric
Sino siya at iniwan mo ako?,description
Sino ako at iniwanan mo?,description
Sino ang lalaking kasama mo?,human
Alin sa mga pagpipilian ang pipiliin mo?,entity
Alin sa mga ito ang maihahalintulad mo sa iyo?,human
Alin nga ba sa mga nagawa ko ang hindi mo gusto?,description
Saang kontinente mo matatagpuan ang pinakamahaba na ilog sa buong mundo?,location
Saan ka galing?,location
Nasaan ka nung naganap ang kaguluhan?,location
Ano ang pinakamasayang nangyari sa buhay mo?,numeric
Ano kaya ang nangyari kanina sa bahay?,numeric
Anong klaseng hayop ang nangangagat?,description
Ano sa Ingles ang pangit?,description
Bakit masayang maligo sa ulan?,description
Bakit ka masyadong praning?,description
Bakit ang ganda ng mga tanawin dito sa Pilipinas?,description
Bakit kulay asul ang langit?,description
Paano kumita ng pera?,description
Paano matulog nang nakatayo?,description
Paano gamutin ang hindi masyadong malalim na sugat?,human
Paano mo sasabihin sa magulang mo na buntis ka?,description
Kailan ka aalis patungong Japan?,numeric
Kailan siya babalik ng Pilipinas?,numeric
Kailan mapapansin ang pusong bitin na bitin?,numeric
Kailan niya sasabihing may jowa na siya?,numeric
Sino ang maghuhugas ng pinggan mamaya?,human
Sino sa inyo ang may mahabang lapis?,entity
Sino ang mas magaling sa kanilang dalawa?,human
Sino ang kumuha ng pera sa wallet ko kanina?,human
Alin sa mga sapatos ang pinakagusto mo?,entity
Alin dito ang masayang gawin?,entity
Alin ang mas mabigat sa kanilang dalawa?,human
Alin dyan ang mas bagay sa suot ko ngayon?,entity
Saan aabot ang twenty pesos mo?,description
Saan ka pupunta sa oras na ito?,location
Saan niya inilagay ang iyong papel?,location
Saan kaya ako mag-aaral sa kolehiyo?,location
Ano ang iyong pangalan?,human
Ano ang ibig mong sabihin?,description
Ano ang paborito mo na pagkain?,description
Bakit wala ka sa party?,location
Bakit ka basa?,description
Bakit ka nahuli?,numeric
Paano ba sumakay ng jeep?,description
Paano ako makakabawi sa iyo?,description
Paano gumawa nang parol?,description
Kailangan ba akong pumunta sa inyo?,numeric
Kailangan mo ba akong saktan?,description
Kailangan ba ng halaman ang maraming tubig?,description
Sino ba ako  sa buhay mo?,human
Sino siya na pinili mo kaysa sakin?,human
Sino ang may gusto sa kanya ?,entity
Alin samin ang mas maganda?,entity
"Alin ang mas gusto mo, papaya o saging?",entity
Alin diyan ang mas gusto mo?,entity
Saan kita makikita?,location
Saan ka pumunta?,location
Saan ka galing?,location
Ano ba ang mayroon sila na wala sa akin?,description
Ano ang laman ng isip mo ngayon?,human
Anong taon kana iha?,numeric
Bakit ngayon ka lang?,numeric
Bakit nga ba mahal kita kahit di pinapansin ang damdamin ko?,description
Bakit ang ganda ko?,description
Paano ngaba tuturuan ang puso?,description
Paano ba magmahal?,description
Paano kung may mahal na siyang iba?,human
Kailan kaya mapapansin ang ating lihim?,numeric
Kailan darating ang aking walang hanggan?,human
Kailan nga ba ako magtatapos ng kolehiyo?,numeric
Sino nga ba siya sa buhay mo na kaya mong saktan ang tulad ko?,human
Sinong mas gusto mo siya o ako?,human
Sino ang mas tama?,entity
Alin sa mga hawak ko ang gusto mo?,entity
Alin ba ang mas mura?,entity
Alin kaya ang mas tama?,entity
Saan kaya ako dadalhin ng aking mga pangarap?,description
Saan mo nakita yan?,location
Saan ba ang bahay nyo?,location
Ano ang kulay ng langit? ,description
Ano ang kinain mo kanina? ,description
Ano ang kinuha mong kurso? ,description
Bakit ba ako nag UP? ,entity
Bakit ang pangit mo? ,description
Bakit siya pa? </3,description
Paano mo ginawa ang iyong thesis? ,description
Paano mo ipapaliwanag ang lahat? ,entity
Paano ko ba maiwawasto ang lahat? ,description
Kailan namatay si Jose Rizal? ,numeric
Kailan ba siya mapapasaakin? ,human
Kailan nya ba ako mapapansin? ,numeric
Sino ang nanay mo? ,human
Sino si Faye? ,human
Sino ang bumihag ng puso mo? ,human
Alin sa mga ito ang nagustuhan mo? ,entity
Alin dyan ang pumatay sa pinsan ko? ,human
Alin ang naiiba? ,entity
Saan mo siya huling nakita? ,location
Saang banda siya nakatira? ,location
